Restaurant,ID,Rating,Reviews,Price,City,State,ZipCode,Category
Paulie Gee's,pGr5QuQU7Ur5GHLvXbT8bw,4.5,1111,2,Brooklyn,NY,11222,Pizza
Fette Sau,mlGfXoxc8cEss8Yms6VrXg,4.0,2158,2,Brooklyn,NY,11211,Barbeque
Barn Joo 35,xZ96vaoL-cQjfotmUKtjJQ,4.5,1098,2,New York,NY,10001,Korean
Maharlika,1_S2RxVWOidWcgbU2tBQBQ,4.0,1378,2,New York,NY,10003,Filipino
by CHLOE. Bleecker Street,GtfhGhWmr1kQ4EnFTlwg7w,4.0,1524,2,New York,NY,10012,Juice Bars & Smoothies
Yuca Bar,AgAkUVLN_axMY-bzbNCfCw,4.0,1644,2,New York,NY,10009,Latin American
Buvette,xQ445GaWVN5Aa3sFX9OoIg,4.0,1506,2,New York,NY,10014,French
Boqueria Spanish Tapas - Flatiron,qIOAlXCCYrwN0VxEEH-Tmw,4.0,1138,3,New York,NY,10011,Spanish
Lady M Cake Boutique,JDBgpyY-7KdRcBlNifVJSw,4.0,1001,3,New York,NY,10075,Bakeries
Yakitori Totto,YC-wGlO0oOkEIaCEDZv-ag,4.0,1208,3,New York,NY,10019,Japanese
Little Branch,a8CdwY4uFIP4nXkl4V5EEg,4.0,998,3,New York,NY,10014,Lounges
Death & Co,H1QphdrrsaB472y9HXi2Ow,4.0,1365,3,New York,NY,10009,Lounges
DOMODOMO,BPZfuPvSxCfoppU4lPFm0Q,4.0,643,3,New York,NY,10012,Japanese
Pegu Club,B2S5HWRfxe9G-BhKJix9Yg,4.0,929,3,New York,NY,10012,Lounges
Maialino,yi6jIxzHo-nbAOG4KWuqcw,4.0,1253,3,New York,NY,10010,Italian
Xixa,Ck09FempamAKGSPsV_bX-A,4.5,505,3,Brooklyn,NY,11211,Mexican
EN Japanese Brasserie,P_UREWCQxEYVbBa-KW_Wew,4.0,1174,3,New York,NY,10014,Japanese
Apothèke,P3NfoMjBy_o2BTNNZ-5okg,4.0,1330,3,New York,NY,10013,Lounges
Osteria Morini Manhattan,KCBfW6sWl9Gx-LvMff08jg,4.0,1015,3,New York,NY,10012,Italian
Print,XoDR_T-ZKYJtZgCocEDcyA,4.0,807,3,New York,NY,10036,American (New)
Market Table,0BzxIsoRuFvxbMPl-iH70A,4.0,750,3,New York,NY,10014,American (New)
Victor's Cafe,StpOKezaW-AyN2xA1EJKvw,4.0,1272,3,New York,NY,10019,Cuban
Vitae,Ucxhqn56VtC-eYjdNsg7Og,4.0,744,3,New York,NY,10017,American (New)
Hillstone Restaurant,01isnBO1rFO2LTOeNfYl9w,4.0,835,3,New York,NY,10010,American (New)
Salinas,XAHfErhn_JujythNCmGl1w,4.0,838,3,New York,NY,10011,Spanish
Blue Water Grill,NZNPFJ405oo1z043hH4Fnw,4.0,1429,3,New York,NY,10003,Seafood
Bondst,m6sYBuozGY1JhnHlBf1Bzg,4.0,893,3,New York,NY,10012,Japanese
Boqueria Spanish Tapas - Soho,AIKjw2QLvVNdha3TciJYzg,4.0,857,3,New York,NY,10012,Spanish
Taureau,50fWXrNECQQYght4ZWeBXQ,4.5,552,3,New York,NY,10013,Fondue
Dear Irving,-dQexkmhlgbiKvZ94jBmjQ,4.5,559,3,New York,NY,10003,Cocktail Bars
Crispo,yFtOtTd7ncSjFF3QavQ5cA,4.0,884,3,New York,NY,10011,Italian
Perry St,2VpurA2lb-q90nmALklNcA,4.0,881,3,New York,NY,10014,American (New)
Gallaghers Steakhouse,hk3ohp_A4L4UgWTexDxf_Q,4.0,847,3,New York,NY,10019,Steakhouses
TAO Uptown,TU_BU9HLflYI2xlyqVQdRA,3.5,2216,3,New York,NY,10022,Asian Fusion
La Pulperia Hell's Kitchen,WqjqHMozyW42XLTtLnKGag,4.5,656,3,New York,NY,10036,Latin American
Ed's Lobster Bar,Z2sNzskjS8Ck0plppRBJIg,4.0,876,3,New York,NY,10012,Seafood
Uncle Boons,m6bu1AGIIIM9GNn9_cjsmg,4.0,713,3,New York,NY,10012,Thai
Sushi by Bou,MmXZLVwWcYugi_TXSHmjeQ,5.0,235,3,New York,NY,10036,Sushi Bars
David Burke Kitchen,Kbk_759zwP0Rk3SAXdrWHg,3.5,1112,3,New York,NY,10013,American (New)
Oiji,FsuJ7VC5vxX3wcLhFrb97Q,4.5,416,3,New York,NY,10003,Korean
Upland,xkvv0n7jbl4Ra3Vm_jfxaA,4.0,787,3,New York,NY,10010,American (New)
Dons Bogam BBQ & Wine Bar,xe9qWNyYmsRvNGRPgW-ZcA,4.0,915,3,New York,NY,10016,Korean
Park Avenue Autumn/Winter/Spring/Summer,2mzyXxnstSPcpDS3u5g_7w,4.0,732,3,New York,NY,10010,American (New)
Fogo de Chão Brazilian Steakhouse,7B2XMvV5uGuKyl19-HTSvg,4.0,925,3,New York,NY,10019,Brazilian
SakaMai,wcwftlB-61XG4ymGTR61aw,4.0,548,3,New York,NY,10002,Japanese
Nougatine at Jean-Georges,xEDD2ScBU3jHhWxlMC7dkQ,4.0,1035,3,New York,NY,10023,French
Palma,6Z5OWpaeGGazJHR4LfThsw,4.0,622,3,New York,NY,10014,Italian
Kang Ho Dong Baekjeong,x9ADy3a--S_6Oqn_1KLipA,4.0,1026,3,New York,NY,10016,Korean
Red Rooster Harlem,fxGpXRxFUDzlU3Cyszu4uQ,3.5,2647,3,New York,NY,10027,American (Traditional)
The Greek,6gDUVNZo0E9lxO2DkAhHOQ,4.5,442,3,New York,NY,10013,Greek
Tomoe Sushi,hh0ae47ojPqq3USCRLmAjg,4.0,844,3,New York,NY,10012,Sushi Bars
Casa Mono,8PhwiTru5teSaZ8C6hrIww,3.5,1136,3,New York,NY,10003,Spanish
Maiella,iXV4FMZPru7BB_nwN_8mVw,4.0,672,3,Long Island City,NY,11109,Italian
St. Anselm,hiTfA7vnxDSLv77nl6UQXQ,4.0,738,3,Brooklyn,NY,11211,American (New)
Sushi of Gari 46,00mykkev3tKCjTsKV60yOA,4.0,625,4,New York,NY,10036,Sushi Bars
Scalini Fedeli,WYhRkUATHRyXZrE55MArbA,4.5,280,4,New York,NY,10013,Italian
Tocqueville Restaurant,a0AvIH1UnFmqAXhZDEQtrw,4.0,328,4,New York,NY,10003,American (New)
Smith & Wollensky,L3L6xDdrS8c67BLZROg79A,3.5,1221,4,New York,NY,10022,Steakhouses
American Cut Steakhouse Tribeca,d-DQwNxs77Pah2ys0q7w1Q,4.0,497,4,New York,NY,10013,Steakhouses
Atera,rZIMlQ76I0mXL8uNii_wVg,4.5,219,4,New York,NY,10013,American (Traditional)
La Grenouille,KIIYvTOc0Uv90aUHEGvoSg,4.0,381,4,New York,NY,10022,French
O Ya,WHXgDm3kcU-aONfjR8tX0A,4.5,199,4,New York,NY,10016,Japanese
Sparks Steak House,IY9NuJdUQHkTjBqZYfFNSQ,3.5,827,4,New York,NY,10017,Steakhouses
Sushi Dojo NYC,je92kXXWjANmiN-dfwNapg,4.0,361,4,New York,NY,10009,Sushi Bars
STK Downtown,TYKqS9eoC4xiixTNP_xsMQ,3.5,1004,4,New York,NY,10014,Steakhouses
L'Appart,C6f_MQaRwIbJ8diailVaCA,5.0,79,4,New York,NY,10281,French
Il Tinello Ristorante Italiano,hzPBADaUBQEL30MGrvKsww,4.5,217,4,New York,NY,10019,Italian
MarkJoseph Steakhouse,3hRE9hN7Yp9AHJD8ahAVDQ,4.0,353,4,New York,NY,10038,Steakhouses
Jewel Bako,juoHZs-uMmqW4gQ1iISvxA,3.5,509,4,New York,NY,10003,Sushi Bars
Asiate,F4vv1nvkqN8ktbn_a4lj1g,4.0,506,4,New York,NY,10023,American (New)
Felidia,ZMFj1vCfQWdSAtwyjqRUlw,4.0,483,4,New York,NY,10022,Italian
Lincoln Ristorante,uDJw4dQiySoNCBoUalW1Ww,4.0,514,4,New York,NY,10023,Italian
Morton's The Steakhouse,K_nsaXmlsyg0I8PoIjPXrA,4.0,451,4,New York,NY,10017,Steakhouses
Greenwich Steakhouse,jkl1ukPtVM2UZqMLSJdWFw,4.5,159,4,New York,NY,10011,Steakhouses
Old Homestead Steak House,dqXZa8fcvHsFvtZVtwRNkA,3.5,907,4,New York,NY,10011,Steakhouses
Benjamin Prime,zR92VSkXj1rt5KTJ15bkAw,4.5,164,4,New York,NY,10016,Steakhouses
Neta,8NDTQb7JLHd4r0yDmpzjUA,4.0,340,4,New York,NY,10011,Sushi Bars
Brushstroke,IkQGg0Tihg6cxUZcq9dtnQ,4.0,357,4,New York,NY,10013,Japanese
Bâtard,0Q3xCYWK2N-wJfXjLa9dFg,4.0,309,4,New York,NY,10013,Modern European
Cagen Japan Restaurant,IYlO-XRwjZlUl0yoKY87cA,4.5,164,4,New York,NY,10009,Japanese
Contra,5K0b-fEk96xUJCV_5ytNog,4.0,262,4,New York,NY,10002,American (New)
Sushi Ishikawa,oB2cpcZNyjDklNqZN0n8hg,4.5,99,4,New York,NY,10021,Sushi Bars
The Four Seasons Restaurant,izcq7u6VhbzkKJq4Hu1EaA,4.0,288,4,New York,NY,10017,American (New)
Royal 35 Steakhouse,dS9rQ7SvIGngPE4y2xkSKw,4.5,138,4,New York,NY,10016,Steakhouses
Secchu Yokota,ynR4-QgEOsE7VhNfIWo73w,5.0,65,4,New York,NY,10009,Japanese
21 Club,RSGqAGFmgfoVssOBfkldXA,3.5,552,4,New York,NY,10019,American (Traditional)
Shuko,EBIjeMlkgU12CyCcUDj-kg,4.0,241,4,New York,NY,10003,Japanese
Sushi Kaito,vX0_qcuVXoeeH1_24I8lSA,4.5,115,4,New York,NY,10023,Sushi Bars
Mr. Jones Supper Club,rPKXTHDgtGI4XEo2HuVpow,5.0,58,4,New York,NY,10014,Australian
Rao's,zo4JHfD2nWPUiqgsgDOaHQ,4.5,131,4,New York,NY,10029,Italian
Porter House Bar and Grill,UmbueYC2QcDFJy6ju7M6dw,3.5,549,4,New York,NY,10019,American (New)
The Top of The Standard,7OwoncdLdUlwh6JMwSz_GQ,3.5,370,4,New York,NY,10014,Lounges
Hirohisa,6t5xWjPLWAjJV3YFMX_oaw,4.5,124,4,New York,NY,10012,Japanese
BLT Steak,VqPoQGy0q5Q8BWlb0XvZuw,4.0,378,4,New York,NY,10022,Steakhouses
Sasabune,3Jr_9I2ouYHDNk8XWKdZ3w,4.0,376,4,New York,NY,10021,Japanese
Masa,t7BIiUN0tFg33kySuuQ0aQ,4.0,287,4,New York,NY,10019,Sushi Bars
Hunt & Fish Club,mWi1AZgb8HJjDsnz5lXsLA,4.0,366,4,New York,NY,10036,American (New)
Gari Columbus,iHwhkW0LLlu81ZCir-lFQA,4.0,314,4,New York,NY,10024,Sushi Bars
Bemelmans Bar,rVwQcrogYw-O2SsAk51iYA,4.0,260,4,New York,NY,10021,Bars
Kosaka,yj4culC4vfNKWXdj5ZxJ4Q,4.5,118,4,New York,NY,10011,Japanese
The Simone,Okbtt-ISFB3kuoxkl2wVgg,5.0,80,4,New York,NY,10028,French
Aska,UM3DuPsG6UKdmsC23O_Icw,4.5,77,4,Brooklyn,NY,11249,Scandinavian
Maccabee's Kosher Deli,-sdJv7z5iJW9JsoYDF8HeA,4.5,23,1,Des Moines,IA,50311,Delis
Tasty Tacos,yGBh-DIPE_kySzmPrDtM4A,4.0,61,1,Des Moines,IA,50316,Mexican
Tacos Degollado,HMaoQcpW6JklOZN_o9YKQw,5.0,15,1,Des Moines,IA,50314,Street Vendors
Caribou Coffee,j2EQAFCiAnXOgIYGQd7nNg,4.0,44,1,Des Moines,IA,50312,Coffee & Tea
Local Yocals FarmHouse,yzlzbQIkvXWfabm074Cmog,4.5,20,1,Des Moines,IA,50309,Burgers
Thelma's Treats,LY7ODhNFVZZkmj6oy2FAog,4.5,15,1,Des Moines,IA,50317,Bakeries
Lina's Mexican Food,W250UL3vjkv5au-Nq3BGUw,4.5,23,1,Des Moines,IA,50309,Mexican
Bubbly Tea House,V_3BeXG8uNz9YmkvpOhY9A,4.0,35,1,Des Moines,IA,50311,Bubble Tea
QDOBA Mexican Eats,SJEzStCgSVBAS9fl9dBTwg,4.5,20,1,Des Moines,IA,50312,Mexican
Big City Burgers and Greens,FxSuI-jP8aL5SKI0YDpm7A,3.5,45,1,Des Moines,IA,50309,Burgers
Abelardo's,VDMcCkf0WTHz1DddI_8Tow,3.5,56,1,Des Moines,IA,50312,Mexican
Granny's Sweet Freeze,S5PwERk2XBhy1ZQOP0I_1g,4.5,17,1,Des Moines,IA,50317,Ice Cream & Frozen Yogurt
Dairy Zone,oe8_k1vv7dyReWH2s2inCA,4.5,15,1,Des Moines,IA,50317,Ice Cream & Frozen Yogurt
El Salvador Del Mundo,c10QFc8YmpMm5zARy9RQ6g,4.0,32,1,Des Moines,IA,50313,Latin American
Menchie's Frozen Yogurt,xQt90PJMu-3sJicd2VrKZQ,4.5,15,1,Des Moines,IA,50312,Ice Cream & Frozen Yogurt
Big Al's BBQ South,WL7ZZIaJ_S0Yi3PsDjkVHQ,4.0,44,1,Des Moines,IA,50315,Barbeque
Tsing Tsao Chinese Fast Food,MM_LMoXlC9LcziaEsFVJlg,4.5,23,1,Des Moines,IA,50317,Chinese
El Rincon Catracho,-kfQihpUAlVG9SQcismtDg,4.5,19,1,Des Moines,IA,50316,Honduran
The Juice Company,jDtbGUIJwACO8PtM2m5REw,3.5,41,1,Des Moines,IA,50312,Juice Bars & Smoothies
Orlondo's,3cDpXBkeSnPYESUtQ0mJvg,4.0,36,1,Des Moines,IA,50321,Pizza
China Place,TYX18rsO4yDg-S9p64TPIg,3.5,37,1,Des Moines,IA,50311,Chinese
Abelardos,onh5LMjsSg6XN2vOYQCygA,4.0,24,1,Des Moines,IA,50310,Mexican
China Chef,LpXguCjFb98XezTQemeCFQ,4.0,31,1,Des Moines,IA,50315,Chinese
GT,GbjnwJBB5Xb_Qj9_8nFqKA,4.5,16,1,Des Moines,IA,50312,Pubs
515 Pi,nHnK0Ai9OAOdePjFxvd4Ug,5.0,11,1,Des Moines,IA,50324,Food Trucks
Paleteria La Michoacana,Lwhp8Hcc4_hzLWhXFc5xIg,5.0,8,1,Des Moines,IA,50316,Mexican
George The Chili King Drive-In,kXFaC4ZdnE1gOb-p37LJdQ,3.5,60,1,Des Moines,IA,50310,Fast Food
TNT Vietnamese Restaurant,_VVGw_Rf5WF8M2N7MstBhg,4.0,24,1,Des Moines,IA,50310,Vietnamese
3B Grill,raPBlSqvcxvw65wfE6f8Gw,4.5,12,1,Des Moines,IA,50310,Mediterranean
Beechwood Lounge,MPVVbTp81f3qGeIpfunJwg,4.0,20,1,Des Moines,IA,50309,Pubs
Twisted Bean Coffee Company,rUS9bAfxPjk8lJ0yE-3Jiw,5.0,11,1,Des Moines,IA,50320,Coffee & Tea
The Blazing Saddle,CIcm5jTzxxzGAXDJbGOC-w,4.0,22,1,Des Moines,IA,50309,Gay Bars
Greenwood Lounge,cAhDVatJM9VxyFjac-DA0w,4.0,25,1,Des Moines,IA,50312,Dive Bars
Dumpling Darling,tnPuETksn5yFnvmuFGzSAw,3.0,73,1,Des Moines,IA,50309,Korean
The Fighting Burrito,3uKMYpV3UKVW3VnnsQniug,3.0,45,1,Des Moines,IA,50309,Mexican
Grounds For Celebration,qUuJ0_jiidEL51VO5iRVvw,4.0,31,1,Des Moines,IA,50310,Coffee & Tea
B-Bops,j5A28BfdHydJEEEmOD1Bow,4.0,22,1,Des Moines,IA,50321,Burgers
China House,-udpNr1aB-GqVGdAszb-QQ,4.0,20,1,Des Moines,IA,50317,Chinese
Noodles Pasta & Sandwich Shop,K72nQIRbuildp-ntcVS_hw,4.5,12,1,Des Moines,IA,50315,Sandwiches
Big Tomato Pizza,VU8wmoN2aeI8ahsnzws-MQ,3.0,70,1,Des Moines,IA,50312,Pizza
Gas Lamp,CsmVHkP_9RlcmdETJvN21A,4.0,16,1,Des Moines,IA,50309,Bars
Tsing Tsao South,tpPF0jLiO1GR28N52Xd0UA,3.5,26,1,Des Moines,IA,50321,Chinese
Shang Yuen Chinese Fast Food,Ax0-ogVDYrIQpPppoM11Jw,3.5,35,1,Des Moines,IA,50310,Chinese
Coaches Kolaches,0tTQBvKtI8NlMjc-OHFtBA,4.5,64,1,Clive,IA,50325,Bakeries
Noodles & Company,_mkzfuqkNSqO59FzVyBB1A,4.0,18,1,Des Moines,IA,50311,Noodles
La Pena,8ssR6zxeftWGeIHf-9u40Q,4.0,15,1,Des Moines,IA,50315,Mexican
LJ's Burgers & Ice Cream,AclKftSqRpoZi7etiEpelw,3.5,27,1,Des Moines,IA,50313,Burgers
B-Bop's Burgers Fries Cola,-wnv7m_uvNrgvF56se6ohA,4.0,19,1,Des Moines,IA,50313,Burgers
Henry J's Taco House,2DdzqPZxwL68NVi23kIk7g,4.0,23,1,Des Moines,IA,50315,Mexican
"Hello, Marjorie",min5uxVNDzXpEBLK_4ovrQ,4.5,37,2,Des Moines,IA,50309,Bars
Olympic Flame Restaurant,0Qg45ef1vy79ekmQbRUpzA,4.0,87,2,Des Moines,IA,50309,Mediterranean
Christophers,1GS66L-L4HwOLmdsB9KrHw,4.0,78,2,Des Moines,IA,50310,Italian
Jesse's Embers,iazcAj6RoaoRvWzYDTfeNg,4.0,78,2,Des Moines,IA,50312,Seafood
DSM Brew Coffee Co.,bLD5v_-nHbE43swaiJIutA,4.5,43,2,Des Moines,IA,50309,Coffee & Tea
Tumea & Sons Restaurant,Yzu1QJwn0KFXWVhNxzM01A,4.0,69,2,Des Moines,IA,50315,Italian
Lucca,OQGmQlzZwN1ee-tYqxCTGg,4.0,77,2,Des Moines,IA,50309,Italian
HoQ,6IwJRX-oincpUolEPQ4LLg,4.0,89,2,Des Moines,IA,50309,American (New)
Trellis,YnGJ8gamj9tpsRz_Wi4OAw,4.5,32,2,Des Moines,IA,50309,Cafes
Harbinger,4ltFVA09odOYX6HwIQZuCQ,4.5,39,2,Des Moines,IA,50312,American (New)
Blu Thai Food & Sushi,E2PDIuiZw68JcKp2tDgx3g,4.0,93,2,Des Moines,IA,50309,Thai
Noah's Ark Ristorante & Fireside Lounge,q3SA0jLGTZmljz_RaSBseA,3.5,95,2,Des Moines,IA,50312,Italian
Vivian's Diner & Drinks,MMweWEH4T7dNWqcfeadQxw,3.5,118,2,Des Moines,IA,50309,Diners
The Republic on Grand,LT73E05xdtvn1fa-22lkVg,4.0,57,2,Des Moines,IA,50309,Bars
The Lift,GzvdelFuekszXBmS8KjEZg,4.0,59,2,Des Moines,IA,50309,Bars
Baratta's,0h4zs_vVdqe7NjPq5vV9Eg,4.0,54,2,Des Moines,IA,50315,Italian
Continental,jJQGEOOHZ1X2bCBRATwhKA,3.5,100,2,Des Moines,IA,50309,American (New)
Everest Restaurant,UvKKcuc9Wi3-8tlSJGfi8Q,4.5,23,2,Des Moines,IA,50320,Indian
Chicago Speakeasy,c93jN6GrABAswlUr053NvA,3.5,79,2,Des Moines,IA,50313,American (New)
Star Bar,T_i0r8ESEv7xGgJhzHX5DA,3.5,89,2,Des Moines,IA,50323,Sports Bars
Bordenaro's Pizza,Rd90jl1iGtjiHHnxo1xaFw,4.0,54,2,Des Moines,IA,50315,Pizza
The Cheesecake Factory,HDrxaB-4ZDZqPquXPe8BNw,3.5,125,2,Des Moines,IA,50266,American (New)
Los Laureles,g0NSfPR5P7qG74vCFsifgg,4.0,58,2,Des Moines,IA,50316,Mexican
Mi Patria Ecuadorian Restaurant,IeQ8bRQKGF4cd6tLQb_yNA,4.5,255,2,West Des Moines,IA,50266,Latin American
Fat Tuesday,XPDyp5Sg-smk9X5EThGzmw,4.0,68,2,Des Moines,IA,50315,Cajun/Creole
Haiku,hfBmNuqVr-1PtLCDadBXYg,3.5,68,2,Des Moines,IA,50311,Sushi Bars
Chucks Restaurant,VXDUsmrsjYAT8FTGQ0gfwg,4.0,46,2,Des Moines,IA,50313,Pizza
Starbucks,HfJPZsLl064zFTfIBIJtQw,4.0,29,2,Des Moines,IA,50309,Coffee & Tea
India Star,VOtKVEDHPozjZHMbZ2GsYw,3.5,79,2,Des Moines,IA,50310,Indian
Juniper Moon,QS7xFHakrCNzQihh68Grsw,4.0,31,2,Des Moines,IA,50309,Cocktail Bars
F & O's - Felix and Oscar's,fWf2u9bUojDAUUlsXDl02Q,3.5,96,2,Des Moines,IA,50310,Pizza
Noce,JyRlsHuUkyU8r1zT5nIARA,4.5,24,2,Des Moines,IA,50309,Cocktail Bars
The Red Monk,QZ-A8Wo3U6GHdRfASwfjIQ,4.5,18,2,Des Moines,IA,50309,Pubs
Paesanos Pizza,yKM3eBdBBThmm6izkIT5yg,4.0,38,2,Des Moines,IA,50315,Pizza
Cooper's On 5th,gbd0C2IfDBsk_Z-R9NcVDw,4.5,89,2,West Des Moines,IA,50265,American (New)
Ceviche Bar,BiA9KpzulR3jKKlcqfBWaQ,3.5,65,2,Des Moines,IA,50309,Cafes
Nut POB Restaurant,-8Y60jXZlTDC3QFc09vkMQ,3.5,50,2,Des Moines,IA,50315,Thai
Mad Meatball Pizzeria & Pub,ZQmI1e3lyOr2VIJr-InUkg,3.5,51,2,Des Moines,IA,50309,Italian
La Mie Express,yLMOxPMPu88OqBQsa0rZBg,4.0,23,2,Des Moines,IA,50309,Bakeries
Lazize,y3rC7Ra5e3SvWIV6HzYHWQ,5.0,12,2,Des Moines,IA,50310,Mediterranean
Spaghetti Works - Des Moines,1po05jytuave8MdaIe6AOQ,3.0,96,2,Des Moines,IA,50309,Italian
5 De Mayo Mexican Restaurant,XRkwjrqLpp_jXk4KhSAVYw,3.5,43,2,Des Moines,IA,50320,Mexican
Sonny's Pizza Bistro,5z07AQJ7EvCehM9oiLvIcA,4.0,26,2,Des Moines,IA,50313,Italian
Quinton's Bar & Deli,aWIdNJMzltw0tBgC2WRI7A,3.0,77,2,Des Moines,IA,50309,Delis
Hy-Vee,bYyVX7BmNvP94Oq0g_sTJA,3.5,38,2,Des Moines,IA,50309,Bakeries
Pueblo Viejo,zuF1Wnw1kRlIvffbv96Tlw,4.0,32,2,Des Moines,IA,50313,Mexican
Pho Vietnamese Cuisine,Z42SRe8WQ2sj7yfYX53JIQ,4.0,17,2,Des Moines,IA,50309,Vietnamese
Iowa Beef Steak House,Zi0iRHlIakjQ-OaGPjHvSQ,3.5,54,2,Des Moines,IA,50316,Steakhouses
Lemon Grass,Y43puaI5sF-MoVtD3Lua2g,4.5,86,2,West Des Moines,IA,50265,Thai
Marino's Italian Restaurant,cwF1SMTJ1yz8ADdLZENlYQ,4.0,23,2,Des Moines,IA,50310,Italian
Los Portales,T4dBZJkPkoqsJ0umx9LixQ,4.5,70,1,Omaha,NE,68108,Mexican
MAR Cafe,m12h--zYSu9uuRdF09nc9g,4.5,77,1,Omaha,NE,68132,American (Traditional)
Barrett's Barleycorn Pub & Grill,slnO6795fyO1LXyNHVv2cA,4.0,72,1,Omaha,NE,68105,Irish Pub
Dundee Double Shot Coffee,C9d2Qwd2k2t94n6vsl1TGw,4.5,39,1,Omaha,NE,68132,Coffee & Tea
Muscle Maker Grill,m77uM8AFDMhe3pEnZXgtHw,4.5,59,1,Omaha,NE,68130,American (New)
Abelardo's Mexican Fresh,SvP2LDd-KxtMsgrcW5OLYA,4.0,111,1,Omaha,NE,68134,Mexican
International Bakery,YOBOzccQjIg5ITBE2sfeTQ,4.5,52,1,Omaha,NE,68107,Bakeries
Sgt Peffers Cafe Italian,Xt-nSdABoDKhnwPhAk1ceQ,4.0,90,1,Omaha,NE,68104,Italian
Karma Koffee,3p-iWrk2deSif5OG4sg2mA,4.5,45,1,Omaha,NE,68154,Coffee & Tea
Lithuanian Bakery & Cafe,s-nbQVqBm837v2HjeoToSA,4.5,38,1,Omaha,NE,68114,Bakeries
Vis Major Brewing Co.,MpYtF8kalE28MDUy-rxQjA,4.5,53,1,Omaha,NE,68105,Breweries
La Casita,fFsvEz4cuhTmKx7RUs5Z1Q,4.0,58,1,Omaha,NE,68105,Mexican
The Corner Kick Street Tacos & Sports Cantina,uJZrVywKEpKnhLD_Plo16w,4.0,90,1,Omaha,NE,68137,Sports Bars
Roast Coffeehouse,isA-_yQD0BmPt9JurN-IQA,4.5,41,1,Omaha,NE,68106,Coffee Roasteries
Hardy Coffee Co.,HvenZpKRM6hp5KSORthzBw,4.0,52,1,Omaha,NE,68104,Coffee & Tea
Frank's Pizza,oIZlriaVX5vUijwm5m9Hww,4.0,101,1,Omaha,NE,68197,Pizza
Sam's Gyros,VeDwh6HPSNmF2mgemF5Rvw,4.0,53,1,Omaha,NE,68132,Middle Eastern
Red Mango,SqVRPO2QpAINXLDFtzwryA,4.5,40,1,Omaha,NE,68114,Juice Bars & Smoothies
Bob's Donuts,8LJEEGD0UEKpUMRwB3WILg,4.0,75,1,Omaha,NE,68131,Chicken Shop
Villagio Pizzeria,eyyIbtH5xUpC_SdCgrPVtg,4.5,59,1,Omaha,NE,68122,Pizza
Hardy Coffee,qWQnDGQoVY_B0wgRjE8oew,4.0,89,1,Omaha,NE,68102,Coffee & Tea
Brick Oven Pizzeria,lOWhN-W6XxhVO4OC7BB_5w,4.0,70,1,Omaha,NE,68114,Pizza
Voodoo Taco,T9V9BsLD47ae_G0H6mEz7A,3.5,161,1,Omaha,NE,68106,Tex-Mex
Cupcake Omaha,CqNNCLqDy1wZ0wzf9QjWHg,4.0,85,1,Omaha,NE,68102,Bakeries
Ethnic Sandwich Shop,wWEJxrLU6cyz68aYhhrhag,4.5,42,1,Omaha,NE,68108,Sandwiches
Kurry Xpress,_qpjUsF8m3Ahk7wT2VM-zQ,4.0,92,1,Omaha,NE,68144,Indian
Dos De Oros,ZMK7VDa_w-Wygb2wTtSVHg,4.5,33,1,Omaha,NE,68117,Food Stands
Vidlak's Brookside Cafe,L6d08ReMP6ZyHS9BUKxl9w,4.0,81,1,Omaha,NE,68130,American (Traditional)
New Gold Mountain,uh1PPVX8DJpD5ILROoSnqA,3.5,121,1,Omaha,NE,68116,Dim Sum
International Cafe,RYuJhhNLsqcp9N38OZ1j5A,4.5,37,1,Omaha,NE,68131,Ethiopian
Le Quartier Baking Company,ntEO1nFNQq1FmIWXrz3BVA,4.5,36,1,Omaha,NE,68132,Bakeries
Kolache Factory,a_hIhEnir3_arhmbXUbK0A,4.0,53,1,Omaha,NE,68164,Bakeries
Smashburger,HYuKEqEyeBwrl2FtcgkJsQ,3.5,84,1,Omaha,NE,68114,Burgers
Pho Viet,BAWQz526qN3g-wnc3n7ykA,3.5,79,1,Omaha,NE,68134,Vietnamese
Blue Line Coffee,lrIvnGi_mIvNXhtXimLfoQ,4.0,72,1,Omaha,NE,68132,Coffee & Tea
Which Wich,Rqk4MQYK5lPAuykxTmcjMg,4.0,54,1,Omaha,NE,68154,Sandwiches
Vietnamese Asian Restaurant,S1O8xSvxaY0epDjUtn6B8w,3.5,103,1,Omaha,NE,68114,Vietnamese
Taqueria Los Compadres,shYOz22mFShmyYv2n3o6TQ,4.0,55,1,Omaha,NE,68137,Mexican
Library Pub,Ja78-rqHm-ySjI6P00tF9A,4.5,40,1,Omaha,NE,68134,Pubs
13th Street Coffee and Tea,mC3LVtch_yxqrEl1hleAaw,4.0,84,1,Omaha,NE,68102,Coffee & Tea
AJ's Cafe,3KsHH98YHn5mKiZ0Jqeong,4.0,61,1,Omaha,NE,68134,Cafes
Virtuoso Pizzeria,3C085ltPmoRE6W6bT_lxpQ,4.0,70,1,Omaha,NE,68104,Pizza
B & G Tasty Foods,eUAUlyVPj631tfWfHGBK8w,3.5,78,1,Omaha,NE,68114,Burgers
Brothers Lounge,eG6PE5Rby-RedVDpWE0zHw,4.5,36,1,Omaha,NE,68131,Lounges
Dragon Wok,4Q30LPMRvcH5jYC716CU-Q,4.5,32,1,Omaha,NE,68164,Chinese
